字符   出现次数   对应编码
Y         1       1000001110
T         3       110111001
S         4       10000000
R         5       10001101
P         1       1000001111
N         1       1000001101
M         2       100000100
I         6       11011101
H         4       10000001
G         3       110111100
F         2       100000101
E         2       1101111010
D         1       11011100010
C         1       11011100011
B         8       0100010
A         1       1101110000
'         7       11011111
?         4       10001100
.         27       00001
,         9       1000111

         8       0100011
          216       111
y         16       010011
w         20       100111
v         17       100010
u         16       010010
t         82       1011
s         57       0001
r         38       10010
p         9       1001100
o         79       1010
n         42       11000
m         26       00000
l         46       11010
k         2       1101111011
j         1       1000001100
i         60       0010
h         64       0101
g         16       100001
f         21       110110
e         129       011
d         45       11001
c         14       010000
b         10       1001101
a         60       0011
